"judul_berita","tanggal_publikasi","jam_publikasi","kategori"
"1.048 Pesilat Berlaga di Kejuaraan Antar Pelajar Jakut","2020-01-31","21:13","Olahraga"
"UP JSC Terus Kembangkan Aplikasi JAKI","2020-01-31","20:48","Kesra"
"Peragaan Busana Digelar di Kereta MRT","2020-01-31","20:38","BUMD"
"Cegah Kecelakaan, Pembatas Jalan Dipasang di Jl Pagelarang","2020-01-31","19:33","Lintas Kota"
"Sudin Dukcapil Jakpus Kebut Pembuatan KIA di Sekolah","2020-01-31","19:18","Fokus"
"Ratusan Pelajar Meriahkan Hari Gizi Nasional di RPTRA Mustika Jati","2020-01-31","19:07","Lintas Kota"
"Musrenbang Kelurahan Kebon Jeruk Sepakati 91 Usulan","2020-01-31","18:51","Pemerintahan"
"TP PKK Jakut Lantik Pengurus Kecamatan Cilincing","2020-01-31","18:38","Pemberdayaan Perempuan"
"Sudin KPKP Lakukan Biosekuriti Pasar Burung Barito","2020-01-31","17:45","Kesehatan"
"Pembangunan Fasilitas MCK di Jati Pulo Rampung","2020-01-31","17:04","Pembangunan"
"Kelurahan Susukan Miliki Taman PPSU","2020-01-31","16:56","Lintas Kota"
"Tinggi Tanggul Kali Ciliwung di Pasar Baru Ditambah","2020-01-31","16:47","Fokus"
"Bapenda DKI Serap Aspirasi Warga Terkait Pengurusan STNK","2020-01-31","16:33","Ekonomi"
"FORST 2020 Bakal Fokus Pada Olahraga dan Rekreasi","2020-01-31","15:53","Olahraga"
"Turap Kali Krukut di Jalan Bank I Diperbaiki","2020-01-31","15:27","Jakarta Hari Ini"
"Lima Meter Kubik Eceng Gondok Diangkut dari Pulau Untung Jawa","2020-01-31","14:53","Jakarta Hari Ini"
"Mulai Besok, Ada Rekayasa Lalin di Kawasan Boulevard Kelapa Gading","2020-01-31","14:53","Pembangunan"
"Bank Sampah SDN 04 Sukapura Lakukan Penimbangan Perdana","2020-01-31","14:34","Kesra"
"Sudin KPKP Jaksel Terus Optimalkan Pengawasan Pangan","2020-01-31","14:12","Lintas Kota"
"Kelurahan Pulau Kelapa Gelar Kerja Bakti","2020-01-31","14:06","Kesra"
"Kolaborasi Bersama Pemkot Bekasi dan Pemprov Jabar, Anies Resmikan Flyover Cipendawa dan Rawa Panjang","2020-01-31","13:11","Fokus"
"Hujan Diprediksi Guyur Jakarta Pada Siang Hari","2020-01-31","10:01","Jakarta Hari Ini"
"Ular Kobra Sepanjang Satu Meter Dievakuasi di Cakung Barat ","2020-01-31","08:10","Jakarta Hari Ini"
"PT MRT Simulasikan Pemasangan Flood Barrier di Stasiun Dukuh Atas BNI","2020-01-30","20:15","BUMD"
"Bedah Rumah Warga di Malakasari Rampung","2020-01-30","19:48","Lintas Kota"
"Sudin Dukcapil Jaksel Siap Layani Perekaman KTP-el di Rumah","2020-01-30","19:35","Kesra"
"Warga Disosialisasikan Pencatatan Pemakaian Air SWRO","2020-01-30","19:15","Ekonomi"
"Pembangunan Flyover Tanjung Barat dan Lenteng Agung Terus Disosialisasikan","2020-01-30","18:23","Pembangunan"
"Wakil Ketua DPRD Dukung Forum Konsultasi Publik RKPD 2021","2020-01-30","18:14","Legislatif"
"DPRD Kepulauan Mentawai Pelajari Pengembangan Pariwisata Kepulauan Seribu","2020-01-30","18:04","Pemerintahan"
"Disdik DKI Berkomitmen Terus Hadirkan Sekolah Ramah Anak","2020-01-30","17:51","Pendidikan"
"RPTRA Anggrek Bintaro Tetap Eksis Jadi Tempat Latihan Tari","2020-01-30","17:36","Seni & Budaya"
"RSUD Tarakan Adakan Seminar Merawat Bayi dan Anak dengan Stoma","2020-01-30","17:21","Kesehatan"
"Job For Career PT Jakpro Diminati Ribuan Pencari Kerja","2020-01-30","15:43","BUMD"
"Dinas LH Apresiasi Komitmen Pasar Tradisional Bebas Kantong Plastik","2020-01-30","14:48","Lintas Kota"
"Saluran Air di Depan Pasar Tomang Dikuras","2020-01-30","14:24","Lintas Kota"
"ASN Kepulauan Seribu Disosialisasikan Ingub Pengurangan Sampah","2020-01-30","14:18","Pemerintahan"
"Sejumlah Rute Transjakarta Dialihkan Sementara","2020-01-30","13:53","BUMD"
"Pemprov DKI Jakarta Gelar Forum Konsultasi Publik RKPD 2021","2020-01-30","13:39","Pemerintahan"
"Legislator dari Tiga Daerah Kunker ke DPRD DKI","2020-01-30","13:14","Legislatif"
"Tahun Ini, Jaksel Bakal Punya 13 Taman Maju Bersama","2020-01-30","13:05","Pembangunan"
"Cegah DBD, Kelurahan Pulau Panggang Lakukan Fogging","2020-01-30","12:47","Lintas Kota"
"Kebakaran Tiga Bangunan di Cikoko Berhasil Dipadamkan","2020-01-30","12:44","Jakarta Hari Ini"
"Ada 127 Usulan Dibahas dalam Musrenbang Kelurahan Kebon Baru","2020-01-30","12:25","Lintas Kota"
"Jalur Hijau di Depan Pasar Cengkareng Ditata","2020-01-30","12:18","Lintas Kota"
"Wali Kota Jaktim Pimpin Apel Penataan Penampungan Unggas","2020-01-30","09:51","Jakarta Hari Ini"
"Dinas PM dan PTSP Rampungkan 6,6 Juta Permohonan di 2019","2020-01-30","09:00","Fokus"
"Sejumlah Wilayah Jakarta Diprediksi Hujan Pada Siang Hari","2020-01-30","08:02","Jakarta Hari Ini"
"Pengurus Kwarcab Pramuka Jakut 2019-2024 Dikukuhkan","2020-01-29","20:09","Lintas Kota"
"143 Usulan Dibahas di Musrenbang Kelurahan Palmerah","2020-01-29","19:22","Pembangunan"
"Wali Kota Jaksel Apresiasi Kinerja Petugas PPSU Tanggulangi Bencana","2020-01-29","19:14","Jakarta Hari Ini"
"TP PKK Jakut Lantik Pengurus Kecamatan Penjaringan","2020-01-29","18:52","Pemberdayaan Perempuan"
"Generasi Milenial Diajak Sadar Gizi","2020-01-29","18:37","Kesehatan"
"Dinsos DKI Jajaki Penempatan Kerja di Jepang ","2020-01-29","18:31","Kesra"
"Komisi A Tinjau Kondisi Sarpras di Dinas Gulkarmat dan BPBD","2020-01-29","18:28","Legislatif"
"378 Mustahik di Grogol Petamburan Dapat Bantuan","2020-01-29","17:40","Kesra"
"Komisi D DPRD DKI Lakukan Peninjauan ke TPST Bantar Gebang","2020-01-29","17:35","Legislatif"
"Komisi E DPRD DKI Serap Aspirasi Yayasan Budaya Kampoeng Kemajoran","2020-01-29","16:54","Legislatif"
"Dinas KPKP Adakan Bimtek Pemasaran Produk PKT Binaan","2020-01-29","15:37","Ekonomi"
"Pembangunan Fisik Jadi Prioritas Musrenbang Kelurahan Pulau Tidung","2020-01-29","15:15","Pembangunan"
"Kabel Listrik PJU di Jakpus akan Diperbarui","2020-01-29","14:50","Jakarta Hari Ini"
"Pohon di Jalan Raya Cilandak KKO Dipangkas","2020-01-29","14:25","Lintas Kota"
"Legislator Kabupaten Sleman Kunker ke Dinas Kominfotik ","2020-01-29","14:06","Pemerintahan"
"Musrenbang Kelurahan Pegangsaan Dua Sepakati 198 Usulan","2020-01-29","14:05","Pembangunan"
"DKI Jakarta Jadi Tuan Rumah Peluncuran Proyek Ketahanan Perubahan Iklim untuk Indonesia dan Asia Pasifik","2020-01-29","13:25","Jakarta Hari Ini"
"Laboratorium Bahasa di MTsN 6 Jakarta Diresmikan","2020-01-29","13:13","Pendidikan"
"Warga Diajak Lestarikan Terumbu Karang","2020-01-29","13:02","Kesra"
"Wakil Bupati Hadiri Musrenbang Kelurahan Pulau Panggang","2020-01-29","12:52","Pembangunan"
"60 Sumur Resapan Selesai Dibuat di Kembangan","2020-01-29","12:15","Pembangunan"
"300 Karung Lumpur Diangkat dari Saluran Air Jalan Kesehatan Raya","2020-01-29","10:52","Jakarta Hari Ini"
"Bupati Pimpin Apel Pegawai di Kecamatan Kepulauan Seribu Selatan","2020-01-29","10:32","Jakarta Hari Ini"
"Empat Sarang Tawon Dievakuasi Petugas Gulkarmat Jaktim","2020-01-29","08:52","Jakarta Hari Ini"
"Hujan Ringan Diprediksi Guyur Jakarta Mulai Pagi Hari","2020-01-29","08:13","Jakarta Hari Ini"
"24 ASN Pemkot Jakbar Terima SK Pensiun","2020-01-28","22:54","Pemerintahan"
"Pemkot Jakut Matangkan Persiapan Pelaksanaan Program Strategis","2020-01-28","22:13","Pemerintahan"
"Pembangunan 50 TMB Ditargetkan Dimulai April","2020-01-28","21:05","Pembangunan"
"Pelajar SMKN 63 Jakarta Ukir Prestasi di Lomba Masak Tingkat Nasional","2020-01-28","20:32","Pendidikan"
"Pemprov Didorong Terus Perbanyak Taman di Ibukota","2020-01-28","20:21","Legislatif"
"Musrenbang Kelurahan Penjaringan Bahas 179 Usulan","2020-01-28","20:13","Pembangunan"
"Pemprov Diminta Bangun Integrasi Antar Moda di Kawasan Padat Penduduk","2020-01-28","20:08","Legislatif"
"Eksekutif dan Legislatif Sepakat Hentikan Sementara Revitalisasi Monas","2020-01-28","19:36","Pemerintahan"
"Musrenbang Kelurahan Pulau Pari Bahas 28 Usulan ","2020-01-28","19:10","Pembangunan"
"Sudin Bina Marga Jakpus Perbaiki 328 Titik Jalan Rusak","2020-01-28","18:27","Pembangunan"
"Turap Kali Cabang Tengah di Jl M Kahfi II Diperbaiki","2020-01-28","18:20","Jakarta Hari Ini"
"Pejabat Pemkot Jakut Disosialisasikan Ingub Pengurangan Sampah","2020-01-28","18:05","Fokus"
"Bapenda DKI Terus Kerja Sama Tingkatkan Penerimaan Pajak","2020-01-28","17:34","Ekonomi"
"Sudinhub Jakbar Siagakan Personel di Jl Kembangan Raya","2020-01-28","17:21","Lintas Kota"
"50 Petugas PPSU Bersihkan Kali Cakung Lama ","2020-01-28","17:04","Lintas Kota"
"Peringatan Hari Gizi Nasional di RPTRA Susukan Ceria ","2020-01-28","16:44","Kesehatan"
"Komisi A Bahas Rotasi Pejabat Eselon di Pemprov DKI","2020-01-28","16:26","Legislatif"
"RPTRA Tidung Ceria Dipercantik Lukisan Edukasi","2020-01-28","16:12","Lintas Kota"
"Dinkes DKI Tingkatkan Koordinasi Terkait Virus Corona","2020-01-28","14:40","Kesehatan"
"Perolehan Bulan Dana PMI di Jakbar Lebihi Target","2020-01-28","14:29","Kesra"
"Bupati Hadiri Musrenbang di Pulau Untung Jawa","2020-01-28","13:47","Pembangunan"
"Ular Sanca Sepanjang Dua Meter Dievakuasi di Jl Radar VI Kalisari","2020-01-28","13:41","Jakarta Hari Ini"
"Pemprov DKI Gelar Pekan Budaya Nusantara di Balai Kota","2020-01-28","13:36","Seni & Budaya"
"11 Kelurahan di Jakut akan Dilengkapi TPA Negeri","2020-01-28","13:29","Pendidikan"
"Tiga Rumah Sakit di Jakarta Jadi Rujukan Penanganan Virus Corona","2020-01-28","12:49","Kesehatan"
"Ini Ciri-ciri Tangki Septik yang Baik","2020-01-28","11:44","BUMD"
"Food Station akan Bangun Stasiun Logistik di Kawasan Cipinang","2020-01-28","11:26","BUMD"
"Dua Sarang Tawon di Jaktim Berhasil Dievakuasi Petugas ","2020-01-28","09:08","Jakarta Hari Ini"
"Sejumlah Wilayah Jakarta Diprediksi Hujan","2020-01-28","08:00","Jakarta Hari Ini"
"Jalan Ambles di Matraman Telah Diperbaiki","2020-01-27","20:20","Lintas Kota"
"Komisi E Bahas Fungsi Dewan Pengawas Rumah Sakit","2020-01-27","19:44","Legislatif"
"Ketua DPRD Tinjau Proses Revitalisasi Kawasan Monas","2020-01-27","19:02","Legislatif"
"Komisi E - Dinkes Rapat Kerja Bahas Pencegahan Virus Corona","2020-01-27","17:47","Legislatif"
"Posko Banjir Kelurahan Cawang Tetap Disiagakan","2020-01-27","17:18","Lintas Kota"
"Pegawai Kelurahan Cempaka Putih Timur Ikuti Pemeriksaan Kesehatan","2020-01-27","16:59","Jakarta Hari Ini"
"Musrenbang Kalibaru Rumuskan 131 Usulan Kegiatan","2020-01-27","16:24","Pemerintahan"
"DPRD Yogyakarta Pelajari Teknis Pembahasan Propemperda di DKI ","2020-01-27","16:03","Legislatif"
"BPBD DKI - RSUD Cipayung Jalin Kerja Sama Integritas Sistem Layanan ","2020-01-27","15:39","Kesehatan"
"Pohon Rawan Tumbang di Jl Jatinegara Timur Dipangkas","2020-01-27","15:16","Lintas Kota"
"Pembatalan Penunjukkan Donny Andy S Saragih Sebagai Dirut PT Transjakarta","2020-01-27","15:09","BUMD"
"Dinas Kesehatan Sediakan Layanan Telepon Khusus Terkait Coronavirus","2020-01-27","14:06","Kesehatan"
"Road To Hattrick WTP, Pemprov DKI Selenggarakan Entry Meeting Pemeriksaan LKPD 2019 ","2020-01-27","13:55","Jakarta Hari Ini"
"Anggota Komisi A Apresiasi Sekolah Ramah Murid Berkebutuhan Khusus","2020-01-27","13:32","Pendidikan"
"Pengunjung Ancol Naik 41 Persen","2020-01-27","13:31","BUMD"
"Petugas Halau Parkir Liar di Jl Matraman Raya","2020-01-27","13:00","Jakarta Hari Ini"
"Kerusakan Tanggul Saluran PHB Pluis Grogol Utara Diperbaiki","2020-01-27","12:10","Jakarta Hari Ini"
"Arus Lalu Lintas di Underpass Kemayoran Kembali Normal","2020-01-27","11:51","Jakarta Hari Ini"
"Dinas KPKP Desinfeksi Rumah Potong Hewan","2020-01-27","10:23","Kesehatan"
"Dua Unit Pengelola PM dan PTSP Berstandar Pelayanan Internasional","2020-01-27","09:41","Lintas Kota"
"Gubernur Anies Pastikan Underpass Kemayoran Bisa Digunakan","2020-01-27","02:00","Jakarta Hari Ini"
"Festival Pulau Untung Jawa Dihelat 13, 15 dan 16 Februari","2020-01-26","17:03","Wisata & Kuliner"
"Wisatawan Mancanegara Nikmati Perayaan Imlek di Thamrin 10","2020-01-26","15:19","Wisata & Kuliner"
"Sudin SDA Jaktim Tambah Alat Berat Perbaiki Turap di Kayu Putih","2020-01-26","14:22","Jakarta Hari Ini"
"Ribuan Warga Ikuti Jalan Sehat di HBKB Sudirman - Thamrin","2020-01-26","13:29","Kesehatan"
"Warga Sukapura Kerja Bakti Bersihkan Saluran ","2020-01-26","13:24","Lintas Kota"
"Jembatan Merah di Cipinang Melayu Diperbaiki","2020-01-26","12:19","Lintas Kota"
"Gubernur Anies Saksikan Parade Barongsai, Wujudkan Akulturasi Budaya Lewat Jakarta Imlekan","2020-01-26","11:10","Jakarta Hari Ini"
"Libur Imlek, Pulau Tidung Dikunjungi 1.453 Wisatawan","2020-01-26","10:05","Wisata & Kuliner"
"Pemkab - Kejari Jakarta Utara Tanda Tangani MoU Bantuan Hukum","2020-01-26","09:40","Pemerintahan"
"Dinas SDA Bantu Tangani Genangan di Underpass Kemayoran","2020-01-25","20:24","Jakarta Hari Ini"
"Hijaukan Jakarta, Pemprov DKI Tanam Puluhan Ribu Pohon dan Jutaan Semak","2020-01-25","19:35","Jakarta Hari Ini"
"LRT Jakarta Hibur Penumpang Dengan Pertunjukan Barongsai","2020-01-25","17:12","BUMD"
"Dinas SDA Kebut Pembebasan Lahan untuk Normalisasi Kali Sunter","2020-01-25","13:23","Lintas Kota"
"Kadis SDA Serahkan Bantuan Pascabanjir di Cipinang Melayu","2020-01-25","12:05","Jakarta Hari Ini"
"Jakarta Diprediksi Diguyur Hujan","2020-01-25","08:20","Jakarta Hari Ini"
"Anies Sambut Malam Pergantian Tahun Baru Imlek 2571 Bersama Masyarakat Tionghoa","2020-01-25","07:57","Fokus"
"10 KUBE Ikuti Bazar di Hotel Berbintang","2020-01-24","21:10","Ekonomi"
"Dinas KPKP Monitoring Pelaksanaan Program Tani Mas di Dua Sekolah","2020-01-24","20:20","Kesra"
"Dinsos Luncurkan Gerakan Sosial 10 Juta Lubang Biopori","2020-01-24","20:14","Kesra"
"Saefullah Lantik 334 Pejabat Fungsional ","2020-01-24","20:02","Pemerintahan"
"Pemprov DKI Merevitalisasi Kawasan Medan Merdeka Selatan Merujuk Keppres 25/1995 ","2020-01-24","19:47","Pemerintahan"
"Sarpras Olahraga di PSBKW Harapan Mulia Diresmikan","2020-01-24","19:40","Olahraga"
"Banggar DPRD Pelajari Sistem Anggaran Bappeda Sumsel","2020-01-24","18:22","Legislatif"
"Petugas PPSU Atasi Genangan di Jl Terusan Kelapa Hibrida","2020-01-24","18:16","Banjir"
"Sudin SDA Jakut Atasi Genangan di Jl Danau Sunter Barat","2020-01-24","17:39","Banjir"
"Dua Alat Berat Bantu Penanganan Turap Longsor di Kayu Putih","2020-01-24","17:34","Jakarta Hari Ini"
"Ketua Komisi B Apresiasi Penghapusan Pajak BBN-KB Kendaraan Listrik","2020-01-24","16:24","Legislatif"
"Portal di Jl Kembang Elok Utama akan Diberlakukan Buka Tutup","2020-01-24","16:17","Lintas Kota"
"Genangan Surut, Petugas Tetap Disiagakan di Jl DI Panjaitan","2020-01-24","15:50","Jakarta Hari Ini"
"Turap Longsor di Kayu Putih Langsung Ditangani Petugas","2020-01-24","15:48","Jakarta Hari Ini"
"Tujuh Pompa Dikerahkan Tangani Genangan di Jalan Letjen Suprapto","2020-01-24","15:38","Banjir"
"UKPD di Jakbar Diminta Implementasikan Ingub Nomor 107 Tahun 2019","2020-01-24","15:19","Pemerintahan"
"Pemkab - BMKG Jajaki Kerja Sama Pemantauan Cuaca","2020-01-24","15:01","Jakarta Hari Ini"
"Tina Toon Sosialisasikan Perda Pelestarian Kebudayaan Betawi","2020-01-24","14:43","Legislatif"
"Jelang Imlek, Omzet Pedagang Bunga Rawa Belong Meningkat","2020-01-24","14:31","Ekonomi"
"12 Unit Pompa Atasi Genangan di Kampung Melayu","2020-01-24","14:25","Banjir"
"Genangan di Jalan Medan Merdeka Barat Telah Surut","2020-01-24","14:05","Banjir"
"Underpass Kemayoran Ditutup Sementara ","2020-01-24","13:57","Jakarta Hari Ini"
" Wajah Baru Pesisir Jakarta, Upaya Pemulihan Lingkungan Teluk Jakarta dan Tingkatkan Keadilan Sosial","2020-01-24","13:42","Jakarta Hari Ini"
"Sudinhub Jaksel Siagakan 419 Personel Saat Imlek","2020-01-24","13:39","Fokus"
"Wakil Bupati Pantau Kondisi Cuaca di Kantor BMKG","2020-01-24","13:31","Jakarta Hari Ini"
"8 Pompa Dikerahkan Atasi Genangan di Jl DI Panjaitan","2020-01-24","13:11","Banjir"
"Sudinsos Jakut Siagakan Posko Dapur Umum","2020-01-24","13:08","Kesra"
"PAM Jaya Sosialisasikan Tarif dan Kepelangganan di Kepulauan Seribu","2020-01-24","12:56","BUMD"
"Empat Pompa Mobile Tangani Genangan di Sunter","2020-01-24","12:46","Banjir"
"Pemprov DKI Tunjuk Donny Saragih Sebagai Dirut PT Transjakarta","2020-01-24","11:37","Transportasi"
"5.000 Perlengkapan Sekolah Diberikan Bagi Pelajar Terdampak Banjir","2020-01-24","10:55","Pendidikan"
"Sekko Jaktim Cek Kesiapan Personel Sudin LH","2020-01-24","09:44","Jakarta Hari Ini"
"Sebagian Wilayah Jakarta Diprediksi Hujan","2020-01-24","08:37","Jakarta Hari Ini"
"PT Pembangunan Jaya Ancol Hadirkan Retail Kuliner Baru ","2020-01-23","20:07","BUMD"
"Lahan Parkir di Jalan Cempaka Putih Tengah XXX akan Ditata","2020-01-23","19:51","Jakarta Hari Ini"
"Gandeng BNPP, PT MRT Tingkatkan Kompetensi SDM Tanggap Darurat ","2020-01-23","18:46","BUMD"
"Pengguna Mobil dan Motor Listrik di Jakarta Bebas Pajak BBN-KB","2020-01-23","18:33","Ekonomi"
"Perbaikan Sodetan Saluran di Jalan Ciragil Timur Rampung","2020-01-23","18:30","Jakarta Hari Ini"
"Petugas Berhasil Evakuasi Sarang Tawon di Jl Taman Malaka Selatan","2020-01-23","17:57","Jakarta Hari Ini"
"Dua Unit Pompa Atasi Genangan di Tugu Utara","2020-01-23","17:17","Banjir"
"Ini Rekayasa Lalin Terkait Proyek Underpass Senen Extention","2020-01-23","16:52","Transportasi"
"Jakarta Imlekan, Kolaborasi Pemprov DKI dan Warga Hadirkan Akulturasi Kebudayaan di Ibukota","2020-01-23","16:27","Seni & Budaya"
"350 Personel Satpol PP Dikerahkan Saat Imlek","2020-01-23","15:56","Lintas Kota"
"Petugas Tangani Genangan di Jl DI Panjaitan","2020-01-23","15:29","Jakarta Hari Ini"
"Dinkes Imbau Warga Waspadai Penyakit Pneumonia Berat","2020-01-23","15:17","Kesehatan"
"Mimpi Hadijah Miliki Tempat Tinggal Layak Akhirnya Terwujud","2020-01-23","14:55","Kesra"
"2,7 Juta Wisman Ditarget Kunjungi Jakarta Tahun Ini","2020-01-23","14:27","Wisata & Kuliner"
"Layanan Restorasi Arsip Warga Terdampak Banjir Digelar di Cawang","2020-01-23","14:11","Kesra"
"Sudin Bina Marga Jaksel Tata Kabel Utilitas di Jl Kemang Utara","2020-01-23","13:39","Jakarta Hari Ini"
"Pohon Tumbang di Tegal Alur Berhasil Dievakuasi","2020-01-23","13:31","Jakarta Hari Ini"
"Pemilik Bentor di Pulau Tidung Disosialisasikan Pelayanan Wisata","2020-01-23","13:29","Wisata & Kuliner"
"Yuk Saksikan Pertunjukan Wayang Potehi di Thamrin 10","2020-01-23","13:19","BUMD"
"KONI Jakarta Utara Gelar Rapat Kerja Tahun 2020","2020-01-23","13:06","Olahraga"
"Kukuhkan FKK DKI 2019-2022, Gubernur Anies Berharap Jakarta Jadi Kota Bebas Ancaman Kebakaran","2020-01-23","12:54","Pemerintahan"
"Satu Pompa Portabel Atasi Genangan di Jl Arteri Marunda","2020-01-23","12:53","Banjir"
"Kelurahan Pulau Untung Jawa Gelar FGD Kamtibmas di RPTRA Amiterdam","2020-01-23","12:17","Kesra"
"Tali Air di Kawasan Simpang Lima Semper Dibersihkan","2020-01-23","11:30","Banjir"
"PPSU Jelambar Atasi Genangan di Jl Daan Mogot Raya","2020-01-23","10:53","Banjir"
"Satgas Gabungan Perbaiki Jalan Ambles di Matraman ","2020-01-23","09:27","Jakarta Hari Ini"
"Sejumlah Wilayah Jakarta akan Diguyur Hujan","2020-01-23","08:29","Jakarta Hari Ini"
"Musrenbang Kelurahan Petukangan Utara Bahas 106 Usulan","2020-01-23","08:24","Lintas Kota"
"20 Pohon Produktif Ditanam di RPTRA Klanceng Putih","2020-01-22","21:56","Kesra"
"Petugas Bersihkan Puing Sisa Bangunan di Jl Panjaitan","2020-01-22","21:09","Lintas Kota"
"Sudin Pusip Jaktim Restorasi Arsip Warga Terdampak Banjir ","2020-01-22","20:15","Jakarta Hari Ini"
"Musrenbang Kelurahan Sungai Bambu Bahas 98 Usulan","2020-01-22","20:07","Pembangunan"
"495 Mustahik di Tambora Terima Santunan","2020-01-22","18:13","Kesra"
"Tiga Taman Grande Dibangun Tahun Ini","2020-01-22","18:10","Pembangunan"
"57 Murid TK Ikuti Wisata Edukasi di Taman Pintar Berlalu Lintas","2020-01-22","17:33","Pendidikan"
"Dinas KPKP Panen 220 Ton Padi di Rorotan","2020-01-22","17:25","Kesra"
"Dinding Kali Sekretaris di Grogol Petamburan Diperbaiki ","2020-01-22","17:15","Pembangunan"
"Kantor Sudin Dukcapil Jakbar Kembali Beroperasi","2020-01-22","17:07","Kesra"
"Halte Transjakarta Central Senen Berhenti Operasi Sementara","2020-01-22","17:01","BUMD"
"Komisi C DPRD DKI Tinjau Aset di THR Lokasari","2020-01-22","16:16","Legislatif"
"Musrenbang Sunter Jaya Tetapkan 209 Usulan Kegiatan","2020-01-22","16:05","Pembangunan"
"DPRD Segera Proses Pemilihan Cawagub DKI","2020-01-22","15:56","Legislatif"
"Pemkab - PLN Survei Lokasi Lahan PLTS di Pulau Sebira","2020-01-22","15:54","Pembangunan"
"Sudinsos Jakpus Siagakan 83 Personel P3S","2020-01-22","15:10","Fokus"
"Integrasi Halte Transjakarta CSW-Stasiun MRT ASEAN Bisa Tingkatkan Pelanggan","2020-01-22","14:27","BUMD"
"Pengurus PBVSI DKI Jakarta Periode 2019 - 2023 Dikukuhkan","2020-01-22","14:20","Olahraga"
"Musrenbang Kabupaten Kepulauan Seribu Dijadwalkan Pekan Depan","2020-01-22","14:14","Pemerintahan"
"Ular Sanca Sepanjang Tiga Meter Dievakuasi di Jl Supriyadi","2020-01-22","13:54","Jakarta Hari Ini"
"Saluran PHB Batu Ampar Dibersihkan Petugas Gabungan","2020-01-22","13:47","Jakarta Hari Ini"
"DWP Provinsi DKI Adakan Pelatihan Keterampilan Tata Rias","2020-01-22","13:27","Pemberdayaan Perempuan"
"Empat TPU di Kepulauan Seribu Ditata","2020-01-22","13:15","Lintas Kota"
"Rembuk RW di Jakut Ditarget Rampung Pekan Ini","2020-01-22","13:07","Pembangunan"
"Sarang Tawon di Rusun Klender Berhasil Dievakuasi ","2020-01-22","12:54","Jakarta Hari Ini"
"Turap di Saluran Air Jalan Dr Saharjo Diperbaiki","2020-01-22","12:49","Jakarta Hari Ini"
"Anies Canangkan Pembangunan Fasilitas Integrasi Halte Transjakarta CSW dan Stasiun MRT ASEAN","2020-01-22","12:44","Transportasi"
"RPTRA Nyiur Melambai Pulau Kelapa Dipercantik dengan Mural","2020-01-22","12:41","Lintas Kota"
"Ini Pelopor Pasar Bebas Plastik di Jakarta","2020-01-22","10:00","Fokus"
"Sebagian Wilayah Jakarta Diprediksi Hujan","2020-01-22","09:49","Jakarta Hari Ini"
"Usulan Musrenbang Kelurahan Ulujami Fokus Antisipasi Banjir","2020-01-22","08:21","Jakarta Hari Ini"
"Sudin LH Jakut Bakal Pindahkan TPS Kencana","2020-01-21","21:20","Lintas Kota"
"Menengok Lampion Hasil Kreasi Pelajar SMAN 22 Jakarta","2020-01-21","20:15","Pendidikan"
"Pemkot Jakpus Kembangkan Budidaya Maggot untuk Reduksi Sampah","2020-01-21","19:21","Pembangunan"
"Badan Pendapatan Daerah DKI Gencarkan Pelaporan Pajak Online","2020-01-21","19:03","Ekonomi"
"DPRD-Disdik Bahas Peningkatkan Kesejahteraan Guru PAUD","2020-01-21","18:25","Legislatif"
"11 RW Terdampak Banjir di Kembangan Utara Dapat Bantuan","2020-01-21","18:11","Kesra"
"Sudin LH Jakbar Angkut Sampah di Rawa Buaya","2020-01-21","17:41","Kesra"
"1.287 PJLP Sudin Pertamanan dan Hutan Kota Jakut Gelar Apel Kesiapsiagaan","2020-01-21","17:24","Jakarta Hari Ini"
"Layanan Pencetakan KTP Elektronik Digelar di Kedoya Selatan","2020-01-21","17:07","Kesra"
"Dinas KPKP Terus Berupaya Stabilkan Harga Cabai","2020-01-21","16:50","Ekonomi"
"28 Pedagang Pasar Tebet Barat Ikuti Sosialisasi Pergub 142/2019","2020-01-21","16:15","Jakarta Hari Ini"
"Kebakaran Sebuah Rumah di Kalisari Berhasil Dipadamkan","2020-01-21","16:11","Jakarta Hari Ini"
"Petugas Gabungan Perbaiki Tanggul Kali Cipinang di Kramat Jati","2020-01-21","15:33","Jakarta Hari Ini"
"Pelajar SMA di Cijantung Berkolaborasi Buat Lampion","2020-01-21","15:12","Pendidikan"
"Wisatawan Diprediksi Padati Kepulauan Seribu Saat Libur Imlek","2020-01-21","15:01","Wisata & Kuliner"
"Enam Sumur Resapan Dibuat di Kantor Kecamatan Kembangan","2020-01-21","14:43","Pembangunan"
"Fokus Pertahankan WTP, Anies Imbau Jajaran Tuntaskan Permasalahan Aset   ","2020-01-21","14:34","Pemerintahan"
"30 Pelajar SMA di Penjaringan Berkreasi Hias Lampion","2020-01-21","14:06","Pendidikan"
